trading_date,delivery_date,open,close
2016-03-24,2016-04-01,11.925,12.05
2016-03-29,2016-04-01,11.975,12.05
2016-03-30,2016-04-01,12.1,12.055
2016-03-31,2016-05-01,11.885,11.935
2016-04-01,2016-05-01,11.8,11.555
2016-04-04,2016-05-01,11.5,11.3
2016-04-05,2016-05-01,11.15,11.35
2016-04-06,2016-05-01,11.31,11.35
2016-04-07,2016-05-01,11.25,11.1
2016-04-08,2016-05-01,11.15,11.2
2016-04-11,2016-05-01,11.125,11.175
2016-04-12,2016-05-01,11.27,11.25
2016-04-13,2016-05-01,11.3,11.275
2016-04-14,2016-05-01,11.23,11.2
2016-04-15,2016-05-01,11.2,11.21
2016-04-18,2016-05-01,11.1,11.425
2016-04-19,2016-05-01,11.4,11.675
2016-04-20,2016-05-01,11.575,11.925
2016-04-21,2016-05-01,12.0,12.55
2016-04-22,2016-05-01,12.45,12.975
2016-04-25,2016-05-01,12.65,12.825
2016-04-26,2016-05-01,12.875,13.975
2016-04-27,2016-05-01,13.65,13.875
2016-04-28,2016-05-01,13.9,12.65
2016-04-29,2016-06-01,12.75,12.55
2016-05-02,2016-06-01,12.35,12.25
2016-05-03,2016-06-01,12.175,12.225
2016-05-04,2016-06-01,12.1,12.395
2016-05-05,2016-06-01,12.905,12.75
2016-05-06,2016-06-01,12.75,12.875
2016-05-09,2016-06-01,13.0,12.975
2016-05-10,2016-06-01,12.7,13.025
2016-05-11,2016-06-01,13.0,13.175
2016-05-12,2016-06-01,13.4,12.875
2016-05-13,2016-06-01,12.875,12.825
2016-05-16,2016-06-01,12.85,13.125
2016-05-17,2016-06-01,13.3,13.15
2016-05-18,2016-06-01,13.06,13.125
2016-05-19,2016-06-01,12.95,13.0
2016-05-20,2016-06-01,13.1,13.05
2016-05-23,2016-06-01,12.825,12.88
2016-05-24,2016-06-01,12.99,13.0
2016-05-25,2016-06-01,13.1,13.255
2016-05-26,2016-06-01,13.45,13.55
2016-05-27,2016-06-01,13.475,13.755
2016-05-31,2016-07-01,14.075,14.15
2016-06-01,2016-07-01,14.21,14.1
2016-06-02,2016-07-01,14.3,14.5
2016-06-03,2016-07-01,14.4,14.175
2016-06-06,2016-07-01,14.325,14.48
2016-06-07,2016-07-01,14.35,14.675
2016-06-08,2016-07-01,14.48,14.425
2016-06-09,2016-07-01,14.35,14.1
2016-06-10,2016-07-01,14.075,13.925
2016-06-13,2016-07-01,13.75,13.8
2016-06-14,2016-07-01,13.575,14.175
2016-06-15,2016-07-01,14.35,14.05
2016-06-16,2016-07-01,13.8,14.275
2016-06-17,2016-07-01,14.275,14.475
2016-06-20,2016-07-01,14.7,15.225
2016-06-21,2016-07-01,15.2,14.75
2016-06-22,2016-07-01,15.2,15.315
2016-06-23,2016-07-01,15.3,15.225
2016-06-24,2016-07-01,14.75,14.6
2016-06-27,2016-07-01,14.55,14.225
2016-06-28,2016-07-01,14.225,14.175
2016-06-29,2016-07-01,14.35,14.425
2016-06-30,2016-08-01,14.575,14.2
2016-07-01,2016-08-01,14.265,14.375
2016-07-04,2016-08-01,14.4,14.525
2016-07-05,2016-08-01,14.325,14.195
2016-07-06,2016-08-01,14.05,14.2
2016-07-07,2016-08-01,14.35,14.325
2016-07-08,2016-08-01,14.1,14.15
2016-07-11,2016-08-01,14.1,14.05
2016-07-12,2016-08-01,14.15,14.35
2016-07-13,2016-08-01,14.25,14.225
2016-07-14,2016-08-01,14.4,14.325
2016-07-15,2016-08-01,14.2,14.175
2016-07-18,2016-08-01,14.225,14.3
2016-07-19,2016-08-01,14.35,14.4
2016-07-20,2016-08-01,14.45,14.65
2016-07-21,2016-08-01,14.775,14.95
2016-07-22,2016-08-01,14.955,14.8
2016-07-25,2016-08-01,14.845,14.82
2016-07-26,2016-08-01,14.8,14.575
